#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;x
# Events ; REMOVE HASH FOR ACTIVE EVENTS AND OPTIONS;;;;;;;;;;;;;x
##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;x
#ANG;Angola;;;;;;;;;;;;;x
EVTNAME6300;The Malagasy Independence;;;;;;;;;;;;;x
EVTDESC6300;From the demands of malagasy intellectuals to the recent popular uprisings, the nationalist sentiment in Madagascar is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Madagascar is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6300;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6300;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6300;Madagascar is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6301;The Malagasy Independence;;;;;;;;;;;;;x
EVTDESC6301;The malagasy government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6301;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6301;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6302;The Malagasy War;;;;;;;;;;;;;x
EVTDESC6302;Armed groups of rebel militias continue to terrorize the population in Madagascar. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Madagascar. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6302;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6302;Crush the rebel scum! Madagascar is ours!;;;;;;;;;;;;;x
EVTNAME6303;The Malagasy War;;;;;;;;;;;;;x
EVTDESC6303;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6303;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6303;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#MAL;Mali;;;;;;;;;;;;;x
EVTNAME6310;The Malian Independence;;;;;;;;;;;;;x
EVTDESC6310;From the demands of malian intellectuals to the recent popular uprisings, the nationalist sentiment in Mali is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Mali is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6310;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6310;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6310;Mali is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6311;The Malian Independence;;;;;;;;;;;;;x
EVTDESC6311;The malian government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6311;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6311;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6312;The Malian War;;;;;;;;;;;;;x
EVTDESC6312;Armed groups of rebel militias continue to terrorize the population in Mali. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Mali. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6312;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6312;Crush the rebel scum! Mali is ours!;;;;;;;;;;;;;x
EVTNAME6313;The Malian War;;;;;;;;;;;;;x
EVTDESC6313;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6313;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6313;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#MLW;Malawi;;;;;;;;;;;;;x
EVTNAME6320;The Malawian Independence;;;;;;;;;;;;;x
EVTDESC6320;From the demands of malawian intellectuals to the recent popular uprisings, the nationalist sentiment in Malawi is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Malawi is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6320;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6320;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6320;Malawi is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6321;The Malawian Independence;;;;;;;;;;;;;x
EVTDESC6321;The malawian government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6321;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6321;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6322;The Malawian War;;;;;;;;;;;;;x
EVTDESC6322;Armed groups of rebel militias continue to terrorize the population in Malawi. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Malawi. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6322;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6322;Crush the rebel scum! Malawi is ours!;;;;;;;;;;;;;x
EVTNAME6323;The Malawian War;;;;;;;;;;;;;x
EVTDESC6323;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6323;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6323;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#MOR;Morocco;;;;;;;;;;;;;x
#MOZ;Mozambique;;;;;;;;;;;;;x
EVTNAME6340;The Mozambican Independence;;;;;;;;;;;;;x
EVTDESC6340;From the demands of mozambican intellectuals to the recent popular uprisings, the nationalist sentiment in Mozambique is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Mozambique is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6340;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6340;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6340;Mozambique is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6341;The Mozambican Independence;;;;;;;;;;;;;x
EVTDESC6341;The mozambican government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6341;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6341;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6342;The Mozambican War;;;;;;;;;;;;;x
EVTDESC6342;Armed groups of rebel militias continue to terrorize the population in Mozambique. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Mozambique. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6342;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6342;Crush the rebel scum! Mozambique is ours!;;;;;;;;;;;;;x
EVTNAME6343;The Mozambican War;;;;;;;;;;;;;x
EVTDESC6343;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6343;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6343;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#MRA;Mauritania;;;;;;;;;;;;;x
EVTNAME6350;The Mauritanian Independence;;;;;;;;;;;;;x
EVTDESC6350;From the demands of mauritanian intellectuals to the recent popular uprisings, the nationalist sentiment in Mauritania is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Mauritania is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6350;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6350;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6350;Mauritania is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6351;The Mauritanian Independence;;;;;;;;;;;;;x
EVTDESC6351;The mauritanian government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6351;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6351;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6352;The Mauritanian War;;;;;;;;;;;;;x
EVTDESC6352;Armed groups of rebel militias continue to terrorize the population in Mauritania. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Mauritania. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6352;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6352;Crush the rebel scum! Mauritania is ours!;;;;;;;;;;;;;x
EVTNAME6353;The Mauritanian War;;;;;;;;;;;;;x
EVTDESC6353;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6353;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6353;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#MRT;Mauritius;;;;;;;;;;;;;x
EVTNAME6360;The Mauritian Independence;;;;;;;;;;;;;x
EVTDESC6360;From the demands of mauritian intellectuals to the recent popular uprisings, the nationalist sentiment in Mauritius is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Mauritius is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6360;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6360;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6360;Mauritius is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6361;The Mauritian Independence;;;;;;;;;;;;;x
EVTDESC6361;The mauritian government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6361;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6361;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6362;The Mauritian War;;;;;;;;;;;;;x
EVTDESC6362;Armed groups of rebel militias continue to terrorize the population in Mauritius. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Mauritius. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6362;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6362;Crush the rebel scum! Mauritius is ours!;;;;;;;;;;;;;x
EVTNAME6363;The Mauritian War;;;;;;;;;;;;;x
EVTDESC6363;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6363;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6363;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#NAM;Namibia;;;;;;;;;;;;;x
#NGR;Niger;;;;;;;;;;;;;x
EVTNAME6380;The Nigerien Independence;;;;;;;;;;;;;x
EVTDESC6380;From the demands of nigerien intellectuals to the recent popular uprisings, the nationalist sentiment in Niger is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Niger is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6380;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6380;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6380;Niger is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6381;The Nigerien Independence;;;;;;;;;;;;;x
EVTDESC6381;The nigerien government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6381;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6381;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6382;The Nigerien War;;;;;;;;;;;;;x
EVTDESC6382;Armed groups of rebel militias continue to terrorize the population in Niger. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Niger. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6382;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6382;Crush the rebel scum! Niger is ours!;;;;;;;;;;;;;x
EVTNAME6383;The Nigerien War;;;;;;;;;;;;;x
EVTDESC6383;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6383;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6383;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#NIG;Nigeria;;;;;;;;;;;;;x
EVTNAME6390;The Nigerian Independence;;;;;;;;;;;;;x
EVTDESC6390;From the demands of nigerian intellectuals to the recent popular uprisings, the nationalist sentiment in Nigeria is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Nigeria is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6390;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6390;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6390;Nigeria is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6391;The Nigerian Independence;;;;;;;;;;;;;x
EVTDESC6391;The nigerian government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6391;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6391;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6392;The Nigerian War;;;;;;;;;;;;;x
EVTDESC6392;Armed groups of rebel militias continue to terrorize the population in Nigeria. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Nigeria. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6392;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6392;Crush the rebel scum! Nigeria is ours!;;;;;;;;;;;;;x
EVTNAME6393;The Nigerian War;;;;;;;;;;;;;x
EVTDESC6393;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6393;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6393;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#RWA;Rwanda;;;;;;;;;;;;;x
EVTNAME6400;The Rwandan Independence;;;;;;;;;;;;;x
EVTDESC6400;From the demands of rwandan intellectuals to the recent popular uprisings, the nationalist sentiment in Rwanda is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Rwanda is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6400;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6400;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6400;Rwanda is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6401;The Rwandan Independence;;;;;;;;;;;;;x
EVTDESC6401;The rwandan government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6401;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6401;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6402;The Rwandan War;;;;;;;;;;;;;x
EVTDESC6402;Armed groups of rebel militias continue to terrorize the population in Rwanda. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Rwanda. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6402;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6402;Crush the rebel scum! Rwanda is ours!;;;;;;;;;;;;;x
EVTNAME6403;The Rwandan War;;;;;;;;;;;;;x
EVTDESC6403;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6403;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6403;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#SAF;South Africa;;;;;;;;;;;;;x
#SCL;Seychelles;;;;;;;;;;;;;x
EVTNAME6420;The Seychellois Independence;;;;;;;;;;;;;x
EVTDESC6420;From the demands of seychellois intellectuals to the recent popular uprisings, the nationalist sentiment in Seychelles is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Seychelles is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6420;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6420;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6420;Seychelles is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6421;The Seychellois Independence;;;;;;;;;;;;;x
EVTDESC6421;The seychellois government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6421;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6421;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6422;The Seychellois War;;;;;;;;;;;;;x
EVTDESC6422;Armed groups of rebel militias continue to terrorize the population in Seychelles. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Seychelles. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6422;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6422;Crush the rebel scum! Seychelles is ours!;;;;;;;;;;;;;x
EVTNAME6423;The Seychellois War;;;;;;;;;;;;;x
EVTDESC6423;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6423;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6423;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#SDR;Sahrawi Arab Democratic Republic;;;;;;;;;;;;;x
#SEN;Senegal;;;;;;;;;;;;;x
EVTNAME6440;The Senegalese Independence;;;;;;;;;;;;;x
EVTDESC6440;From the demands of senegalese intellectuals to the recent popular uprisings, the nationalist sentiment in Senegal is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Senegal is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6440;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6440;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6440;Senegal is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6441;The Senegalese Independence;;;;;;;;;;;;;x
EVTDESC6441;The senegalese government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6441;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6441;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6442;The Senegalese War;;;;;;;;;;;;;x
EVTDESC6442;Armed groups of rebel militias continue to terrorize the population in Senegal. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Senegal. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6442;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6442;Crush the rebel scum! Senegal is ours!;;;;;;;;;;;;;x
EVTNAME6443;The Senegalese War;;;;;;;;;;;;;x
EVTDESC6443;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6443;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6443;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#SIE;Sierra Leone;;;;;;;;;;;;;x
EVTNAME6450;The Sierra Leonean Independence;;;;;;;;;;;;;x
EVTDESC6450;From the demands of sierra leonean intellectuals to the recent popular uprisings, the nationalist sentiment in Sierra Leone is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Sierra Leone is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6450;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6450;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6450;Sierra Leone is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6451;The Sierra Leonean Independence;;;;;;;;;;;;;x
EVTDESC6451;The sierra leonean government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6451;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6451;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6452;The Sierra Leonean War;;;;;;;;;;;;;x
EVTDESC6452;Armed groups of rebel militias continue to terrorize the population in Sierra Leone. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Sierra Leone. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6452;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6452;Crush the rebel scum! Sierra Leone is ours!;;;;;;;;;;;;;x
EVTNAME6453;The Sierra Leonean War;;;;;;;;;;;;;x
EVTDESC6453;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6453;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6453;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#SKA;South Kasai;;;;;;;;;;;;;x
#SLL;Somaliland;;;;;;;;;;;;;x
#SOM;Somalia;;;;;;;;;;;;;x
EVTNAME6480;The Somali Independence;;;;;;;;;;;;;x
EVTDESC6480;From the demands of somali intellectuals to the recent popular uprisings, the nationalist sentiment in Somalia is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Somalia is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6480;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6480;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6480;Somalia is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6481;The Somali Independence;;;;;;;;;;;;;x
EVTDESC6481;The somali government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6481;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6481;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6482;The Somali War;;;;;;;;;;;;;x
EVTDESC6482;Armed groups of rebel militias continue to terrorize the population in Somalia. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Somalia. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6482;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6482;Crush the rebel scum! Somalia is ours!;;;;;;;;;;;;;x
EVTNAME6483;The Somali War;;;;;;;;;;;;;x
EVTDESC6483;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6483;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6483;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#SUD;Sudan;;;;;;;;;;;;;x
EVTNAME6490;The Sudanese Independence;;;;;;;;;;;;;x
